item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,l1_validated,l2_validated,l3_validated,gender_validated,primary_fop_validated,sub_sport_validated,corrected_columns,reasoning
macys_apparel & accessories_clothing_uniforms_unknown product,macys,apparel & accessories > clothing > uniforms,Apparel,Other Apparel,,Men's,volleyball,,Apparel,Other Apparel,,Men's,,,"[""primary_fop""]","The web category 'uniforms' does not clearly indicate a specific sport or activity context, and there is no indication that it is related to volleyball. Therefore, the primary FoP should be 'null' as there is no clear field of play for this product."
nordstrom_men_shoes_good man brand_good man brand edge sneaker (men),nordstrom,men > shoes,Apparel,Other Apparel,,Men's,lacrosse,,Footwear,,,Men's,sportswear,,"[""l1"", ""l2"", ""primary_fop""]","The product is a sneaker, which falls under Footwear, not Apparel. The primary FoP should be sportswear as it is a lifestyle sneaker, not lacrosse-specific."
foot_locker_shoes_casual sneakers_casual sneakers_vans_vans authentic - men's,foot_locker,shoes > casual sneakers > casual sneakers,Footwear,,,Men's,sportswear,sportswear_skateboarding,Footwear,,,Men's,sportswear,sportswear_skateboarding,[],"The current classifications are correct. The product is a casual sneaker from Vans, which fits the 'Footwear' L1 category. The gender is correctly identified as 'Men's' based on the item key. The primary FoP is 'sportswear' with a sub-sport of 'sportswear_skateboarding' as Vans is known for skate-inspired lifestyle sneakers."
nordstrom_shoes_booties_c&c california_wmns dsnr :cc brave combat boot,nordstrom,shoes > booties,Footwear,,,Women's,boxing,,Footwear,,,Women's,sportswear,sportswear_other,"[""primary_fop"", ""sub_sport""]",The product is a 'combat boot' which fits the 'sportswear' category for lifestyle footwear. The original classification of 'boxing' is incorrect as the product is not a boxing shoe. 'sportswear_other' is used as the sub-sport because it doesn't fit the specific sub-sports listed under sportswear.
nike_unisex_footwear_basketball_nike_kobe viii protro basketball shoes,nike,unisex > footwear > basketball,Footwear,,,Men's,basketball,signature_basketball,Footwear,,,Unisex/Undefined,basketball,signature_basketball,"[""gender""]","The item is a basketball shoe, which aligns with the 'Footwear' L1 category. The gender classification should be 'Unisex/Undefined' as the web categories indicate 'unisex' and there are no specific men's indicators in the item key or web categories. The primary FoP and sub-sport are correctly identified as 'basketball' and 'signature_basketball' respectively, given the product is a Nike Kobe signature basketball shoe."
nike_kids_footwear_basketball_nike_kobe 6 protro basketball shoes,nike,kids > footwear > basketball,Footwear,,,Men's,basketball,cross_training,Footwear,,,Kids,basketball,signature_basketball,"[""gender"", ""sub_sport""]","The product is a basketball shoe for kids, as indicated by the item key and web categories. The current gender classification is incorrect; it should be 'Kids' based on the web categories. The sub-sport should be 'signature_basketball' because the Nike Kobe 6 Protro is a signature basketball shoe."
kohls_wmns_active_footwear_fila_fila memory frame v6 women's shoes,kohls,wmns > active > footwear,Footwear,,,Women's,volleyball,cross_training,Footwear,,,Women's,training,cross_training,"[""primary_fop""]","The product is a women's active footwear item, likely intended for training activities. The current classification of 'volleyball' as the primary FoP is incorrect, as there is no indication that these are volleyball-specific shoes. 'Training' with a sub-sport of 'cross_training' is more appropriate given the context of active footwear."
kids_foot_locker_shoes_casual sneakers_casual running sneakers_new balance_new balance 327 - boys' preschool,kids_foot_locker,shoes > casual sneakers > casual running sneakers,Footwear,,,Kids,sportswear,sportswear_running,Footwear,,,Kids,sportswear,sportswear_running,[],"The current classifications are correct. The product is a casual running sneaker for kids, aligning with the 'Footwear' L1 category. The 'sportswear' FoP with 'sportswear_running' sub-sport is appropriate for a lifestyle running-inspired sneaker. The gender classification 'Kids' is accurate based on the item key and merchant information."
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's shoes_men's athletic shoes_men's walking shoes_rockport_rockport men's eureka walking shoe",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's shoes > men's athletic shoes > men's walking shoes",Footwear,,,Men's,walking,,Footwear,,,Men's,walking,,[],"The current classifications are correct. The product is a men's walking shoe, which aligns with L1: Footwear, Gender: Men's, and Primary FoP: walking. L2, L3, and Sub-sport are not applicable for this product type."
abercrombie_and_fitch_men's_tops_shirts_short-sleeve_shirts_abercrombie & fitch_jacquard pattern button-through sweater polo,abercrombie_and_fitch,men's > tops > shirts > short-sleeve_shirts,Apparel,Tops,,Men's,lacrosse,,Apparel,Tops,Polos,Men's,sportswear,,"[""l3"", ""primary_fop""]","The item is a 'jacquard pattern button-through sweater polo', which fits the L3 category 'Polos' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a casual, lifestyle item, not specific to lacrosse."
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's shoes_men's slippers_ugg_ugg men's ascot slipper",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's shoes > men's slippers",Footwear,,,Men's,slides,,Footwear,,,Men's,,,"[""primary_fop""]","The product is a men's slipper, which does not fit the definition of 'slides' as it is not a slide-on sandal. Therefore, the primary FoP should be 'null' as slippers are not covered by any specific FoP category."
champs_sports_shoes_casual sneakers_skate shoes_vans_vans lowland cc - men's,champs_sports,shoes > casual sneakers > skate shoes,Footwear,,,Men's,sportswear,sportswear_skateboarding,Footwear,,,Men's,sportswear,sportswear_skateboarding,[],"The current classifications are correct. The product is a men's skate shoe, which fits the 'Footwear' L1 category. The 'sportswear' FoP with 'sportswear_skateboarding' sub-sport is appropriate given the skate shoe context. The gender is correctly identified as 'Men's' based on the item key."
champs_sports_accessories_hats_hats_new era_new era mlb 59fifty world series side patch cap - men's,champs_sports,accessories > hats > hats,Apparel,Other Apparel,,Men's,baseball,,None,,,Men's,,,"[""l1"", ""l2"", ""primary_fop""]","The product is a hat, which falls under accessories and is not considered Apparel or Footwear according to the classification documentation. Therefore, L1 should be 'None'. L2 and Primary FoP should be 'null' as they are not applicable for L1='None'. Gender remains 'Men's' as it is correctly identified."
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan retro 12 - boys' preschool,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Apparel,Bottoms,Pants,Kids,sportswear,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""l1"", ""l2"", ""l3"", ""sub_sport""]","The product is a pair of casual basketball sneakers for kids, which falls under Footwear, not Apparel. The L2 and L3 categories are not applicable for Footwear. The primary FoP is sportswear, with a sub-sport of sportswear_basketball due to the casual basketball sneaker context."
macys_shoes_sneakers & athletic shoes_general_nike kids_cosmic runner (big kid),macys,shoes > sneakers & athletic shoes > general,Footwear,,,Kids,tennis,outdoor_soccer,Footwear,,,Kids,running,road_running,"[""primary_fop"", ""sub_sport""]","The product is a Nike Cosmic Runner for kids, which is a running shoe. The current classification of 'tennis' and 'outdoor_soccer' is incorrect. The correct primary FoP should be 'running' with a sub-sport of 'road_running' as it is a general running shoe for kids."
"target_clothing, shoes & accessories_toddler clothing_toddler girls' clothing_bottoms_cat & jack_toddler girls' solid cozy lined leggings - cat & jack",target,"clothing, shoes & accessories > toddler clothing > toddler girls' clothing > bottoms",Apparel,Bottoms,Baselayer Bottoms,Women's,sportswear,,Apparel,Bottoms,Fleece Bottoms,Kids,sportswear,,"[""l3"", ""gender""]","The product is 'toddler girls' solid cozy lined leggings', which indicates it is for kids, not women's. The term 'cozy lined' suggests it is a warmth-focused bottom, aligning with 'Fleece Bottoms' rather than 'Baselayer Bottoms'."
"amazon_clothing, shoes & jewelry_women_women's clothing_women's activewear_women's athletic clothing sets_rubzoof_rubzoof sweatsuits for women sets 2 piece outfits casual lounge sets two piece sweat suits s-3xl",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's activewear > women's athletic clothing sets",Apparel,Track Suits,,Women's,cheer_dance,,Apparel,Track Suits,,Women's,sportswear,,"[""primary_fop""]","The product is a casual lounge set, which fits the definition of sportswear as it is lifestyle/casual athletic-inspired apparel for everyday wear. The current classification of cheer_dance is incorrect as there are no signals indicating it is specific to cheerleading or dance."
foot_locker_clothing_skirts & dresses_skirts & dresses_nike_nike air dress - women's,foot_locker,clothing > skirts & dresses > skirts & dresses,Apparel,Dresses,,Women's,,,Apparel,Dresses,,Women's,sportswear,,"[""primary_fop""]","The product is a Nike Air Dress, which fits the L1 category 'Apparel' and L2 category 'Dresses'. The gender is correctly identified as 'Women's'. The primary FoP should be 'sportswear' as the item is likely a lifestyle/casual athletic-inspired dress, not performance-specific."
kohls_boys_accessories_hats_47 brand_47 brand_youth '47 purple minnesota vikings logo clean up adjustable hat,kohls,boys > accessories > hats > 47 brand,Apparel,Other Apparel,,Kids,american_football,,None,,,Kids,american_football,,"[""l1"", ""l2""]","The product is a hat, which falls under accessories and is not considered Apparel or Footwear according to the classification documentation. Therefore, L1 should be 'None' and L2 should be 'null'. The current classification incorrectly categorized it as Apparel and Other Apparel."
macys_men_finish line men's shoes_skechers_men's skech-lite pro - clear rush casual sneakers from finish line,macys,men > finish line men's shoes,Footwear,,,Men's,cricket,cross_training,Footwear,,,Men's,sportswear,sportswear_other,"[""primary_fop"", ""sub_sport""]","The product is a casual sneaker, which fits the 'sportswear' FoP category rather than 'cricket'. The sub-sport is 'sportswear_other' as it doesn't fit specific sub-sports like running or basketball. The gender classification is correct as 'Men's' based on the web categories and item description."
on_on running_shoes_on_cloud x 4 ad,on,On Running > shoes,Footwear,,,Women's,tennis,outdoor_soccer,Footwear,,,Women's,running,road_running,"[""primary_fop"", ""sub_sport""]","The product is from On Running, which specializes in running shoes. The current classification of 'tennis' and 'outdoor_soccer' is incorrect. Based on the merchant and web categories, the correct primary FoP should be 'running' with a sub-sport of 'road_running' as On Cloud shoes are designed for road running."
"lululemon_men's clothes_pants_joggers_lululemon_city sweat jogger, grey sage",lululemon,men's clothes > pants > joggers,Apparel,Bottoms,Fleece Bottoms,Men's,training,,Apparel,Bottoms,Fleece Bottoms,Men's,sportswear,,"[""primary_fop""]","The product is a 'City Sweat Jogger' from Lululemon, which fits the description of lifestyle/casual athletic-inspired apparel for everyday wear, aligning with the 'sportswear' FoP. The current classification of 'training' is incorrect as the product does not indicate performance training features."
"lululemon_women's clothes_shorts_lululemon_hotty hot high-rise lined short 2.5"", black",lululemon,women's clothes > shorts,Apparel,Bottoms,Baselayer Bottoms,Women's,tennis,,Apparel,Bottoms,Shorts,Women's,training,training_other,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is a pair of shorts, which should be classified as 'Shorts' under L3, not 'Baselayer Bottoms'. The primary FoP should be 'training' as the shorts are not specifically for tennis but are suitable for general training activities. The sub-sport is 'training_other' as it doesn't fit into 'cross_training' or 'yoga' specifically."
abercrombie_and_fitch_girls_clearance_tops_hoodies_&_sweatshirts_abercrombie kids_legging-friendly graphic crew sweatshirt,abercrombie_and_fitch,girls > clearance > tops > hoodies_&_sweatshirts,Apparel,Tops,,Kids,cheer_dance,,Apparel,Tops,Fleece Tops,Kids,sportswear,,"[""l3"", ""primary_fop""]","The product is a 'legging-friendly graphic crew sweatshirt' which fits the L3 category 'Fleece Tops' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a casual, lifestyle item, not specific to 'cheer_dance'."
"target_sports & outdoors_exercise & fitness_boxing & kickboxing_everlast worldwide, inc._everlast pro style elite 12oz training boxing gloves - white",target,sports & outdoors > exercise & fitness > boxing & kickboxing,Apparel,Other Apparel,,Men's,boxing,,None,,,Unisex/Undefined,boxing,,"[""l1"", ""gender""]","The product is boxing gloves, which are considered equipment, not apparel, thus L1 should be 'None'. Gender is not specified in the product description, so it should be 'Unisex/Undefined'."
kohls_underwear_vanity fair lingerie_women's vanity fair lingerie® illumination string bikini panty 18108,kohls,underwear,Apparel,Underwear,,Women's,swimming,,Apparel,Underwear,,Women's,,,"[""primary_fop""]","The product is a women's string bikini panty, which falls under the L1 category 'Apparel' and L2 category 'Underwear'. There is no applicable L3 category for 'Underwear'. The gender is correctly identified as 'Women's'. The primary FoP was incorrectly classified as 'swimming', but this product is not related to swimming or any specific sport, so the correct FoP should be 'null'."
scheels_shirts_nike_men's nike sportswear club t-shirt,scheels,shirts,Apparel,Tops,,Men's,softball,,Apparel,Tops,Athletic Shirts & Tees,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a Nike Sportswear Club T-shirt, which fits the 'Athletic Shirts & Tees' category for L3. The primary FoP should be 'sportswear' as it is a casual athletic-inspired apparel item, not specific to softball."
kohls_mens_kids_footwear_vans_vans® asher kids' skate shoes,kohls,mens > kids > footwear,Footwear,,,Men's,sportswear,sportswear_skateboarding,Footwear,,,Kids,sportswear,sportswear_skateboarding,"[""gender""]","The product is identified as 'Vans Asher Kids' skate shoes', indicating it is targeted at children. Therefore, the gender classification should be 'Kids' instead of 'Men's'. All other classifications are correct based on the product description and documentation."
macys_shoes_flats____journee collection_women's tullie loafer,macys,shoes > flats >  >  > ,Footwear,,,Women's,sportswear,sportswear_other,Footwear,,,Women's,sportswear,sportswear_other,[],"The current classifications are correct. The item is a women's loafer, which falls under Footwear. The gender is correctly identified as Women's. The primary FoP is sportswear, as loafers are typically casual/lifestyle footwear, and the sub-sport is sportswear_other, which is appropriate for items that don't fit specific sub-sport categories."
"amazon_clothing, shoes & jewelry_women_women's shoes_women's fashion sneakers_skechers_skechers sport women's whimsical dream sneaker",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's fashion sneakers",Footwear,,,Women's,wrestling,training_other,Footwear,,,Women's,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The product is a women's fashion sneaker, which aligns with the 'sportswear' FoP for footwear. The sub-sport 'sportswear_running' is appropriate as it is a running-inspired lifestyle sneaker. The current classification of 'wrestling' and 'training_other' is incorrect for this type of product."
champs_sports_shoes_casual sneakers_casual sneakers_puma_puma mb.01 - boys' toddler,champs_sports,shoes > casual sneakers > casual sneakers,Footwear,,,Kids,walking,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""primary_fop"", ""sub_sport""]","The product is a Puma MB.01, which is a basketball-inspired lifestyle sneaker. The current classification of 'walking' is incorrect as it does not fit the walking-specific footwear definition. The correct primary FoP is 'sportswear' with a sub-sport of 'sportswear_basketball' due to its basketball-inspired design."
dicks_sporting_goods_shoes_women's shoes_women's cleats_cleats_women's softball cleats_new balance_new balance women's fusev2 softball turf shoes,dicks_sporting_goods,shoes > women's shoes > women's cleats > cleats > women's softball cleats,Footwear,,,Women's,softball,training_other,Footwear,,,Women's,softball,,"[""sub_sport""]","The product is a women's softball cleat, which falls under the 'softball' FoP for footwear. The sub-sport 'training_other' is incorrect as it should be 'null' since 'softball' does not have sub-sport categories."
"macys_men_shorts_club room_men's regular-fit 9 4-way stretch shorts, created for macy's",macys,men > shorts,Apparel,Bottoms,Shorts,Men's,basketball,,Apparel,Bottoms,Shorts,Men's,sportswear,,"[""primary_fop""]","The product is a pair of men's regular-fit shorts with 4-way stretch, which aligns with casual/lifestyle wear rather than performance basketball apparel. Therefore, the correct Field of Play is 'sportswear' instead of 'basketball'."
champs_sports_shoes_casual sneakers_casual sneakers_nike_nike crater impact - men's,champs_sports,shoes > casual sneakers > casual sneakers,Footwear,,,Men's,basketball,outdoor_soccer,Footwear,,,Men's,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The product is a casual sneaker, which aligns with the 'sportswear' FoP rather than 'basketball'. The sub-sport 'sportswear_running' is appropriate given the lifestyle/heritage running-inspired silhouette of the Nike Crater Impact. The current sub-sport 'outdoor_soccer' is incorrect for this type of sneaker."
macys_brands_finish line men's shoes_asics_men's gel-venture 10 trail running sneakers from finish line,macys,brands > finish line men's shoes,Footwear,,,Men's,running,trail_running,Footwear,,,Men's,running,trail_running,[],"The current classifications are correct. The product is a men's trail running sneaker, which aligns with the L1 as 'Footwear', the gender as 'Men's', the primary FoP as 'running', and the sub-sport as 'trail_running'. L2 and L3 are not applicable for footwear, so they remain 'null'."
macys_shoes_sneakers & athletic shoes_guess_women's miram platform lace-up court sneakers,macys,shoes > sneakers & athletic shoes,Footwear,,,Women's,basketball,training_other,Footwear,,,Women's,sportswear,sportswear_tennis,"[""primary_fop"", ""sub_sport""]","The product is a 'Guess Women's Miram Platform Lace-Up Court Sneakers', which suggests a lifestyle/casual sneaker rather than a performance basketball shoe. The term 'court' in the name aligns with tennis-inspired lifestyle shoes, fitting the 'sportswear_tennis' sub-sport. The current classification of 'basketball' and 'training_other' is incorrect for this type of product."
dicks_sporting_goods_shoes_men's shoes_men's cleats_cleats_men's football cleats_nike_nike men's alpha menace 4 shark football cleats,dicks_sporting_goods,shoes > men's shoes > men's cleats > cleats > men's football cleats,Footwear,,,Men's,soccer,outdoor_soccer,Footwear,,,Men's,american_football,,"[""primary_fop"", ""sub_sport""]","The product is a football cleat, which should be classified under 'american_football' for the primary FoP. The current classification of 'soccer' and 'outdoor_soccer' is incorrect for this item."
foot_locker_shoes_clogs_clogs_crocs_crocs pokemon classic clogs charizard + blastoise - men's,foot_locker,shoes > clogs > clogs,Footwear,,,Men's,flip_flops,,Footwear,,,Men's,sportswear,sportswear_other,"[""primary_fop"", ""sub_sport""]","The product is a pair of Crocs clogs, which are not flip-flops. They fall under the 'sportswear' category for casual/lifestyle footwear. The sub-sport is 'sportswear_other' as it doesn't fit the specific sub-sport categories listed."
foot_locker_shoes_casual sneakers_casual sneakers_new balance_new balance 9060 - boys' grade school,foot_locker,shoes > casual sneakers > casual sneakers,Footwear,,,Kids,lacrosse,,Footwear,,,Kids,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The product is a casual sneaker, which fits the 'sportswear' FoP for footwear. The 'lacrosse' FoP is incorrect as the product is not related to lacrosse. The sub-sport 'sportswear_running' is appropriate given the New Balance 9060's running-inspired design."
"macys_all_activewear____adidas_women's essentials warm-up slim tapered 3-stripes track pants, xs-4x",macys,all > activewear >  >  > ,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,,Apparel,Bottoms,Pants,Women's,sportswear,,"[""l3"", ""gender"", ""primary_fop""]","The product is 'adidas women's essentials warm-up slim tapered 3-stripes track pants', indicating it is a pair of pants, not baselayer bottoms. The gender is 'Women's' based on the product name. The primary FoP should be 'sportswear' as it is a casual track pant, not specific to basketball."
lululemon_women's clothes_shirts_tank tops_lululemon_cool racerback ii *luon,lululemon,women's clothes > shirts > tank tops,Apparel,Tops,,Women's,golf,,Apparel,Tops,Athletic Shirts & Tees,Women's,training,yoga,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is a tank top from Lululemon, which fits the 'Athletic Shirts & Tees' category for L3. The primary FoP should be 'training' with a sub-sport of 'yoga' due to Lululemon's focus on yoga and studio practice apparel. The current classification of 'golf' is incorrect."
"target_clothing, shoes & accessories_toddler clothing_toddler boys' clothing_tops_cat & jack_toddler boys' long sleeve jersey pocket t-shirt - cat & jack",target,"clothing, shoes & accessories > toddler clothing > toddler boys' clothing > tops",Apparel,Tops,,Kids,baseball,,Apparel,Tops,Athletic Shirts & Tees,Kids,sportswear,,"[""l3"", ""primary_fop""]","The product is a toddler boys' long sleeve jersey pocket t-shirt, which fits the L3 category 'Athletic Shirts & Tees' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a casual, everyday wear item, not specific to baseball."
champs_sports_shoes_casual sneakers_casual tennis sneakers_adidas_adidas originals gazelle indoor - women's,champs_sports,shoes > casual sneakers > casual tennis sneakers,Apparel,Other Apparel,,Men's,swimming,,Footwear,,,Women's,sportswear,sportswear_tennis,"[""l1"", ""gender"", ""primary_fop"", ""sub_sport""]","The product is a casual tennis sneaker, which falls under Footwear, not Apparel. The gender should be Women's based on the item key. The primary FoP should be sportswear with a sub-sport of sportswear_tennis, as the Adidas Gazelle is a lifestyle tennis-inspired shoe."
nordstrom_men_all men's shoes_rockport_mens act s:cloudswift:rock/ turme,nordstrom,men > all men's shoes,Footwear,,,Men's,american_football,cross_training,Footwear,,,Men's,walking,,"[""primary_fop"", ""sub_sport""]","The product is a Rockport men's shoe, which is typically associated with walking shoes. The current classification of 'american_football' and 'cross_training' is incorrect as these do not align with the typical use case for Rockport shoes. The correct primary FoP should be 'walking', and there is no applicable sub-sport for this category."
academy_sports_apparel_womens apparel_womens skorts_bcg_bcg women's taped tennis skort,academy_sports,apparel > womens apparel > womens skorts,Apparel,Bottoms,Skirts,Women's,tennis,,Apparel,Bottoms,Skirts,Women's,tennis,,[],"The current classifications are correct based on the product being a women's tennis skort, which fits the L1, L2, L3, and gender categories. The primary FoP is correctly identified as tennis, and there is no applicable sub-sport for tennis apparel."
dicks_sporting_goods_athletic clothing_men's clothing_men's shirts & tops_shirts & tops_carhartt_carhartt men's garment dye hoodie,dicks_sporting_goods,athletic clothing > men's clothing > men's shirts & tops > shirts & tops,Apparel,Tops,,Men's,sportswear,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l3""]","The product is a hoodie, which falls under 'Fleece Tops' in the L3 category for 'Tops'. The current L3 classification is null, so it needs to be updated to 'Fleece Tops'."
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air vapormax flyknit 2021 - women's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Dresses,,Women's,training,,Footwear,,,Women's,sportswear,sportswear_running,"[""l1"", ""l2"", ""primary_fop"", ""sub_sport""]","The product is a Nike Air VaporMax Flyknit 2021, which is a type of footwear, not apparel. The web categories indicate it is a casual sneaker, aligning with the sportswear FoP. The sub-sport 'sportswear_running' is appropriate as the VaporMax is a running-inspired lifestyle shoe. Gender remains 'Women's' as indicated."
lululemon_shoes_lululemon_women's strongfeel training shoe,lululemon,shoes,Footwear,,,Women's,basketball,cross_training,Footwear,,,Women's,training,cross_training,"[""primary_fop""]","The product is a training shoe from Lululemon, which aligns with the 'training' FoP rather than 'basketball'. The sub-sport 'cross_training' is appropriate for a training shoe."
champs_sports_shoes_casual sneakers_casual running sneakers_nike_nike air max 270 - women's,champs_sports,shoes > casual sneakers > casual running sneakers,Footwear,,,Women's,running,road_running,Footwear,,,Women's,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The Nike Air Max 270 is a lifestyle/casual running-inspired sneaker, not a performance running shoe. Therefore, the correct FoP is 'sportswear' with a sub-sport of 'sportswear_running'. The current classification incorrectly identified it as 'running' with 'road_running' sub-sport, which is for performance running shoes."
foot_locker_shoes_sandals_sandals_nike_nike victori one slides - men's,foot_locker,shoes > sandals > sandals,Apparel,Other Apparel,,Men's,volleyball,,Footwear,,,Men's,slides,,"[""l1"", ""l2"", ""primary_fop""]","The product is a pair of slides, which falls under Footwear, not Apparel. The primary FoP should be 'slides' as it is a slide-on sandal, not 'volleyball'. L2 is not applicable for Footwear."
"costco_clothing, luggage & handbags_spdr ss tee",costco,"clothing, luggage & handbags",Apparel,Tops,,Unisex/Undefined,running,,Apparel,Tops,Athletic Shirts & Tees,Unisex/Undefined,sportswear,,"[""l3"", ""primary_fop""]","The item 'spdr ss tee' suggests a short sleeve tee, which fits the L3 category 'Athletic Shirts & Tees'. The web categories 'clothing, luggage & handbags' do not indicate a specific sport, so 'sportswear' is more appropriate for the Primary FoP than 'running', as it is likely a casual or lifestyle tee."
lululemon_shoes_lululemon_women's cityverse sneaker,lululemon,shoes,Footwear,,,Women's,training,yoga,Footwear,,,Women's,sportswear,sportswear_other,"[""primary_fop"", ""sub_sport""]","The product is a sneaker from Lululemon, which is typically categorized under sportswear for lifestyle/casual wear. The current classification of 'training' and 'yoga' is incorrect as these are not performance-specific shoes. The gender classification remains correct as 'Women's'."
